Commit_Hash,Date_Time,Author,Change_Description,Files_Modified
6a762ee,2026-08-27 11:33:51,Dilip,"feat: increase timeouts to 2m, optimize extraction memory and keep-alive, add debug check for P-42","backend/app/api/v1/auth.py, backend/app/services/extractor.py, frontend/src/pages/ComponentReview.tsx, frontend/src/pages/Export.tsx, frontend/src/pages/JobsReview.tsx, frontend/src/pages/SparesReview.tsx"
f3063fc,2026-08-26 09:42:18,Dilip,feat: catch CancelledError on task stop to update manual status in DB,backend/app/services/extractor.py
7a52ff6,2026-08-26 09:37:03,Dilip,feat: add Stop Extraction button in the page status details modal,frontend/src/components/manuals/ManualPageStatusModal.tsx
9922de9,2026-08-26 08:54:44,Dilip,feat: update debug-restore-m29 endpoint to serve as real-time M-29 active/deleted record counts diagnostics,backend/app/api/v1/auth.py
6ff1328,2026-08-26 08:40:37,Dilip,feat: correct debug-restore-m29 endpoint to move spares back to M-45 and reset M-29 status,backend/app/api/v1/auth.py
e078c6a,2026-08-26 08:03:29,Dilip,feat: move debug-restore-m29 endpoint to auth router to bypass vessel regex conflict,"backend/app/api/v1/auth.py, backend/app/api/v1/ingestion.py"
e529ac3,2026-08-26 07:50:23,Dilip,feat: add old manual b480204a spares re-linking support to debug-restore-m29,backend/app/api/v1/ingestion.py
d017452,2026-08-26 07:45:24,Dilip,feat: add interactive debug-restore-m29 endpoint,backend/app/api/v1/ingestion.py
9d389e3,2026-08-26 06:50:25,Dilip,feat: reset stuck manuals to failed state on startup and log E-32 status,backend/app/main.py
291cf1c,2026-08-26 06:44:54,Dilip,feat: add M-29 volume 2 diagnostic check on startup,backend/app/main.py
d4e7601,2026-08-25 19:23:37,Dilip,feat: print production manuals updated count on boot,backend/app/main.py
c9f2613,2026-08-25 19:06:16,Dilip,feat: add automatic M-29 manuals database data recovery on container boot,backend/app/main.py
e85aa59,2026-08-25 18:54:55,Dilip,feat: wrap extraction task in robust try-except to handle failures and document statuses gracefully,backend/app/services/extractor.py
8869b1a,2026-08-25 18:18:45,Dilip,fix: correct column name to original_job_name in job_name_backup queries,"backend/app/api/v1/jobs.py, backend/app/services/extractor.py, backend/app/services/job_naming.py"
32fbc05,2026-08-25 18:06:39,Dilip,feat: support Boiler Flame Eye and Main Burner component synonym library matching,"backend/app/api/v1/jobs.py, backend/app/services/extractor.py, backend/app/services/job_naming.py, backend/app/tasks/classification.py"
0acf392,2026-08-25 17:21:43,Dilip,feat: check staging vessel 4 status on startup,backend/app/main.py
c3c62f4,2026-08-25 17:13:34,Dilip,fix: resolve Anthropic model ID in AI component matcher to match configured CLAUDE_MODEL_ID,backend/app/services/extractor.py
4acffaf,2026-08-25 08:26:01,Dilip,feat: implement duplicate-aware job formatting Component - Job Body - Action with enhanced action identifier,"backend/app/api/v1/jobs.py, backend/app/main.py, backend/app/services/extractor.py, backend/app/services/job_naming.py"
f067a0e,2026-08-25 08:14:25,Dilip,"feat: keep AI-driven matching exclusively for jobs, revert spares matching to original text-overlap logic",backend/app/services/extractor.py
ea78d2c,2026-08-25 08:11:26,Dilip,feat: implement AI-driven component matching with token-overlap fallback,backend/app/services/extractor.py
5c2f657,2026-08-21 15:28:01,Dilip,feat: force full-page spare parts extraction by default,backend/app/services/extractor.py
