ShipComponentJobLinkId,vesselname,ShipComponentName,ShipComponentCode,JobCode,JobName,FrequencyType,Frequency,AlternateFrequencyType,AlternateFrequency,Responsibility
106861,Alkebulan,Piston & Rod,1.001.001.003-001,1.001.001.003-001-J001,Check Main Engine Piston,,,Hourly,2000,Second Engineer
106867,Alkebulan,Piston & Rod,1.001.001.003-001,1.001.001.003-001-J002,Overhaul Main Engine Piston,,0,Hourly,16000,Chief Engineer
106873,Alkebulan,Piston Gland Box,1.001.001.004-001,1.001.001.004-001-J001,Check & Overhaul Main Engine Stuffing Box,,0,Hourly,16000,Chief Engineer
106879,Alkebulan,Cylinder Liner,1.001.001.002-001,1.001.001.002-001-J001,Check Main Engine Cylinder Liners,,,Hourly,2000,Second Engineer
106885,Alkebulan,Cylinder Liner,1.001.001.002-001,1.001.001.002-001-J002,Overhaul Of Main Engine Cylinder Liners,,,Hourly,32000,Chief Engineer
106891,Alkebulan,Connecting Rod/Crosshead/Guide Shoe & Bearing,1.001.001.014-001,1.001.001.014-001-J001,Check Main Engine Crosshead Bearings,,,Hourly,8000,Chief Engineer
106897,Alkebulan,Connecting Rod/Crosshead/Guide Shoe & Bearing,1.001.001.014-001,1.001.001.014-001-J002,Dismantle Of Main Engine Crosshead Bearings,Yearly,4,,,Chief Engineer
106903,Alkebulan,Crankpin Bearing,1.001.001.082-001,1.001.001.082-001-J001,Check & Overhaul Main Engine Crankpin Bearings,,,Hourly,8000,Chief Engineer
106904,Alkebulan,Crank Shaft,1.001.001.025-001,1.001.001.025-001-J001,Check Main Engine Crankshaft Deflection,,,Hourly,8000,Second Engineer
106905,Alkebulan,Main Bearing,1.001.001.015-001,1.001.001.015-001-J001,Check Main Engine Main Bearings,,,Hourly,8000,Chief Engineer
106913,Alkebulan,Main Bearing,1.001.001.015-001,1.001.001.015-001-J002,Check & Overhaul Main Engine Main Bearings,Yearly,4,,,Chief Engineer
106921,Alkebulan,Thrust Bearing,1.001.001.031-001,1.001.001.031-001-J001,Check Main Engine Thrust Bearings,,,Hourly,8000,Chief Engineer
106923,Alkebulan,Main Engine,1.001.001-001,1.001.001-001-J001,Check Main Engine Mechanical Control Gear Chain,,,Hourly,8000,Second Engineer
106924,Alkebulan,Camshaft,1.001.001.067-001,1.001.001.067-001-J001,Check Main Engine Camshaft,,,Hourly,8000,Second Engineer
106925,Alkebulan,Camshaft,1.001.001.067-001,1.001.001.067-001-J002,Check Main Engine Camshaft Bearings,Yearly,1,,,Second Engineer
106926,Alkebulan,Starting Air Distributor,1.001.001.064-001,1.001.001.064-001-J001,Check Main Engine Starting Air Distributors,,,Hourly,8000,Chief Engineer
106927,Alkebulan,Main Starting Air Valve,1.001.001.127-001,9.200.013-001-J001,Check & Overhaul Main Engine Starting Air Valves,,,Hourly,8000,Second Engineer
106928,Alkebulan,Exhaust Valve,1.001.001.009-001,1.001.001.009-001-J001,Check & Overhaul Main Engine Exhaust Valves,,0,Hourly,16000,Chief Engineer
